County Code,District Code,School Code,County Name,District Name,School Name,Grade Span,StudentDeviceRation,InternetSpeed,RecommendedInternetSpeed,MetRecommendedSpeed,ConnectivityBetweenSchools,RecommendedConnectivity,MetRecommendedConnectivity,ValidScores_Math,ParticipationPercent_Math,SchoolPerformance_Math,DistrictPerformance_Math,StatePerformance_Math,ProfRateFederalAccountability_Math,AnnualTarget_Math,MetTarget_Math,ValidScores_ELA,ParticipationPercent_ELA,SchoolPerformance_ELA,DistrictPerformance_ELA,StatePerformance_ELA,ProfRateFederalAccountability_ELA,AnnualTarget_ELA,MetTarget_ELA,Percent_white,Percent_blck,Percent_hisp,Percent_asian,Percent_econdis
13,3570,590,ESSEX,NEWARK CITY,OLIVER STREET SCHOOL,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,659,98.9,38.40,24.40,43.5,38.4,35.6,Met Target,620,99.0,49.50,31.80,54.9,49.5,47.2,Met Target,34.1,4.7,60.8,0.4,86.5
13,3570,605,ESSEX,NEWARK CITY,QUITMAN COMMUNITY SCHOOL,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,322,97.6,12.70,24.40,43.5,12.7,19.8,Not Met,321,97.3,17.80,31.80,54.9,17.8,20,Met Target†,0.8,76.0,22.9,0.2,87.5
13,3570,610,ESSEX,NEWARK CITY,RIDGE STREET SCHOOL,PK-08,1:0.2,24.5,100 kbps,No,N,Fiber,No,500,99.4,26.60,24.40,43.5,26.6,31.2,Not Met,476,99.4,44.40,31.80,54.9,44.4,46.7,Met Target†,1.1,9.4,88.4,0.7,85.2
13,3570,615,ESSEX,NEWARK CITY,ROBERTO CLEMENTE ELEMENTARY SCHOOL,PK-04,1:0.5,24.5,100 kbps,No,N,Fiber,No,173,98.3,36.40,24.40,43.5,36.4,34.2,Met Target,164,98.2,30.50,31.80,54.9,30.5,31.6,Met Target†,0.4,17.0,81.4,0.2,91.4
13,3570,640,ESSEX,NEWARK CITY,SOUTH STREET ELEMENTARY SCHOOL,PK-06,1:0.1,24.5,100 kbps,No,N,Fiber,No,294,100.0,21.50,24.40,43.5,21.5,19.3,Met Target,253,100.0,24.50,31.80,54.9,24.5,23.4,Met Target,17.7,14.0,67.9,,87.6
13,3570,670,ESSEX,NEWARK CITY,SOUTH SEVENTEENTH STREET SCHOOL,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,310,95.1,11.60,24.40,43.5,11.6,12.4,Met Target†,314,96.3,17.50,31.80,54.9,17.5,19.1,Met Target†,0.5,82.1,16.7,0.5,93.3
13,3570,690,ESSEX,NEWARK CITY,SPEEDWAY AVENUE SCHOOL,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,334,90.1,12.60,24.40,43.5,11.9,13.8,Met Target†,334,90.1,29.00,31.80,54.9,27.5,23.6,Met Target,0.3,89.8,9.5,0.2,83.8
13,3570,710,ESSEX,NEWARK CITY,SUSSEX AVENUE SCHOOL Burnet Street  School,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,289,95.1,35.60,24.40,43.5,35.6,29,Met Target,288,97.3,26.80,31.80,54.9,26.8,22.5,Met Target,1.5,47.1,50.6,0.4,88.2
13,3570,715,ESSEX,NEWARK CITY,THIRTEENTH AVENUE SCHOOL MARTIN LUTHER KING,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,432,93.9,11.10,24.40,43.5,11,11.4,Met Target†,442,95.5,19.40,31.80,54.9,19.4,15.9,Met Target,0.8,82.8,16.1,,90.4
13,3570,750,ESSEX,NEWARK CITY,WILSON AVENUE SCHOOL,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,723,99.3,34.60,24.40,43.5,34.6,34.7,Met Target†,699,99.4,38.00,31.80,54.9,38,39.3,Met Target†,39.2,1.3,59.3,0.1,79.6
13,3570,430,ESSEX,NEWARK CITY,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,PK-04,1:0.5,24.5,100 kbps,No,N,Fiber,No,209,100.0,30.20,24.40,43.5,30.2,26.3,Met Target,203,100.0,22.70,31.80,54.9,22.7,24.8,Met Target†,1.3,18.5,79.9,0.2,92.0
13,3570,420,ESSEX,NEWARK CITY,FOURTEENTH AVENUE SCHOOL,PK-04,1:0.5,24.5,100 kbps,No,N,Fiber,No,94,95.9,15.90,24.40,43.5,15.9,18.7,Met Target†,94,95.9,11.70,31.80,54.9,11.7,18.3,Not Met,1.5,72.4,24.6,1.0,95.6
13,3570,415,ESSEX,NEWARK CITY,Dr. E. ALMA FLAGG SCHOOL,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,344,93.0,13.10,24.40,43.5,12.8,10.3,Met Target,309,93.1,16.50,31.80,54.9,16.2,16.6,Met Target†,1.0,34.0,64.8,0.2,92.2
13,3570,410,ESSEX,NEWARK CITY,FIRST AVENUE SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,752,99.7,49.10,24.40,43.5,49.1,48.6,Met Target,741,99.9,54.00,31.80,54.9,54,52.9,Met Target,2.1,11.8,80.5,2.7,90.5
13,3570,301,ESSEX,NEWARK CITY,Luis Muños Marin Elementary School,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,712,99.6,11.50,24.40,43.5,11.5,14.7,Not Met,678,99.3,21.10,31.80,54.9,21.1,19.7,Met Target,0.7,26.1,72.5,0.5,89.1
13,3570,220,ESSEX,NEWARK CITY,B.R.I.C.K. Avon Academy,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,362,99.7,18.50,24.40,43.5,18.5,14.4,Met Target,363,99.7,23.50,31.80,54.9,23.5,18.7,Met Target,0.6,90.2,9.2,,87.1
13,3570,200,ESSEX,NEWARK CITY,ANN STREET SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,868,100.0,57.10,24.40,43.5,57.1,54.9,Met Target,845,100.0,55.90,31.80,54.9,55.9,55.1,Met Target,37.9,1.4,60.4,0.2,85.2
13,3570,170,ESSEX,NEWARK CITY,ABINGTON AVENUE SCHOOL,PK-08,1:0.2,24.5,100 kbps,No,N,Fiber,No,566,98.3,30.90,24.40,43.5,30.9,29.2,Met Target,544,98.0,46.00,31.80,54.9,46,41.9,Met Target,3.1,8.9,85.1,2.5,95.0
13,3570,87,ESSEX,NEWARK CITY,American History High School,07-12,1:0.5,24.5,100 kbps,No,N,Fiber,No,286,99.0,*,24.40,43.5,*,24.2,Not Met,283,97.6,34.60,31.80,54.9,34.6,44.9,Not Met,0.7,75.2,23.4,0.7,77.7
13,3570,302,ESSEX,NEWARK CITY,NEWARK LEADERSHIP ACADEMY,09-12,1:1.3,24.5,100 kbps,No,N,Fiber,No,*,*,*,*,43.5,*,**,**,*,*,*,*,54.9,*,**,**,,86.6,12.2,,45.1
13,3570,70,ESSEX,NEWARK CITY,WEEQUAHIC HIGH SCHOOL,09-12,1:0.6,24.5,100 kbps,No,N,Fiber,No,100,80.3,*,24.40,43.5,*,4.8,Not Met,102,80.3,*,31.80,54.9,*,8.1,Met Target†,0.4,93.7,5.9,,67.8
13,3570,57,ESSEX,NEWARK CITY,UNIVERSITY HIGH SCHOOL,07-12,1:0.6,24.5,100 kbps,No,N,Fiber,No,310,96.6,13.50,24.40,43.5,13.5,19.7,Not Met,305,95.3,35.10,31.80,54.9,35.1,34,Met Target,1.1,80.3,17.5,1.1,73.0
13,3570,56,ESSEX,NEWARK CITY,Technology High School,09-12,1:0.9,24.5,100 kbps,No,N,Fiber,No,283,98.3,57.20,24.40,43.5,57.2,54.7,Met Target,294,97.7,78.90,31.80,54.9,78.9,73,Met Target,12.3,21.6,63.7,2.1,84.6
13,3570,55,ESSEX,NEWARK CITY,SCIENCE PARK HIGH SCHOOL,07-12,1:1.0,24.5,100 kbps,No,N,Fiber,No,380,84.6,74.70,24.40,43.5,66.6,42.9,Met Target,381,83.0,86.60,31.80,54.9,75.7,47.7,Met Target,19.1,32.8,42.9,4.0,68.0
13,3570,50,ESSEX,NEWARK CITY,MALCOLM X SHABAZZ HIGH SCHOOL,09-12,1:0.9,24.5,100 kbps,No,N,Fiber,No,154,86.0,*,24.40,43.5,*,9.7,Not Met,155,86.1,12.20,31.80,54.9,11.2,10.8,Met Target,1.0,92.8,6.2,,64.1
13,3570,45,ESSEX,NEWARK CITY,NEWARK VOCATIONAL HIGH SCHOOL,09-12,1:2.0,24.5,100 kbps,No,N,Fiber,No,72,76.0,*,24.40,43.5,*,N,N,65,69.9,*,31.80,54.9,*,7.5,Not Met,,89.5,10.5,,58.6
13,3570,270,ESSEX,NEWARK CITY,BRANCH BROOK SCHOOL,PK-04,1:0.7,24.5,100 kbps,No,N,Fiber,No,62,100.0,61.30,24.40,43.5,61.3,42.7,Met Target,62,100.0,54.80,31.80,54.9,54.8,39.1,Met Target,3.4,15.6,76.0,3.4,87.7
13,3570,304,ESSEX,NEWARK CITY,BARD EARLY COLLEGE HIGH SCHOOL,09-12,1:0.4,24.5,100 kbps,No,N,Fiber,No,170,99.4,24.10,24.40,43.5,24.1,35.6,Not Met,166,99.4,58.40,31.80,54.9,58.4,65.1,Not Met,3.5,68.9,25.3,2.1,66.4
13,3570,309,ESSEX,NEWARK CITY,Newark Early College High School,07-12,N,24.5,100 kbps,No,N,Fiber,No,177,88.5,*,24.40,43.5,*,12.7,Not Met,169,84.5,14.80,31.80,54.9,13.2,17.3,Met Target†,0.2,87.5,10.9,1.4,53.1
13,3570,312,ESSEX,NEWARK CITY,Barringer Academy of S.T.E.A.M.,09-12,N,24.5,100 kbps,No,N,Fiber,No,387,88.6,*,24.40,43.5,*,8.5,Not Met,381,86.6,*,31.80,54.9,*,11.7,Not Met,1.1,21.7,75.5,1.3,86.6
13,3570,317,ESSEX,NEWARK CITY,Salome Ureña Elementary School,PK-04,N,24.5,100 kbps,No,N,Fiber,No,,,,,,,,,,,,,,,,,2.1,22.6,69.9,3.4,86.3
13,3570,40,ESSEX,NEWARK CITY,EAST SIDE HIGH SCHOOL,09-12,1:0.7,24.5,100 kbps,No,N,Fiber,No,931,87.7,*,24.40,43.5,*,9.9,Not Met,912,86.0,14.80,31.80,54.9,13.4,16.3,Not Met,24.4,13.6,60.9,0.8,74.8
13,3570,30,ESSEX,NEWARK CITY,CENTRAL HIGH SCHOOL,09-12,1:0.5,24.5,100 kbps,No,N,Fiber,No,374,87.6,*,24.40,43.5,*,6.5,Not Met,358,83.1,12.00,31.80,54.9,10.5,14.4,Not Met,0.1,87.9,11.8,0.1,76.4
13,3570,20,ESSEX,NEWARK CITY,BARRINGER ARTS HIGH SCHOOL,09-12,1:1.0,24.5,100 kbps,No,N,Fiber,No,281,97.6,*,24.40,43.5,*,5.4,Not Met,273,97.2,*,31.80,54.9,*,10,Not Met,1.0,29.6,68.7,,66.2
13,3570,10,ESSEX,NEWARK CITY,ARTS HIGH SCHOOL,07-12,1:0.5,24.5,100 kbps,No,N,Fiber,No,412,99.0,19.40,24.40,43.5,19.4,26.5,Not Met,400,99.3,39.30,31.80,54.9,39.3,41.2,Met Target†,7.6,59.4,32.6,0.1,70.7
13,3570,2,ESSEX,NEWARK CITY,FAST TRACK SUCCESS ACADEMY,07-12,1:3.3,24.5,100 kbps,No,N,Fiber,No,17,94.4,*,24.40,43.5,*,**,**,*,*,*,*,54.9,*,**,**,2.9,81.4,15.7,,51.4
13,3570,330,ESSEX,NEWARK CITY,CHANCELLOR AVENUE SCHOOL,PK-08,1:0.6,24.5,100 kbps,No,N,Fiber,No,338,98.6,*,24.40,43.5,*,16.8,Not Met,338,98.6,13.30,31.80,54.9,13.3,19.7,Not Met,0.4,89.8,9.8,,86.7
13,3570,350,ESSEX,NEWARK CITY,CLEVELAND Eighteenth Avenue School,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,263,95.3,17.10,24.40,43.5,17.1,10.7,Met Target,267,97.1,23.20,31.80,54.9,23.2,16.6,Met Target,0.5,87.9,10.9,0.5,87.4
13,3570,370,ESSEX,NEWARK CITY,B.R.I.C.K. Peshine Academy,PK-08,N,24.5,100 kbps,No,N,Fiber,No,405,94.4,17.20,24.40,43.5,17.1,15.1,Met Target,393,92.5,26.20,31.80,54.9,25.5,22.6,Met Target,0.8,88.8,9.5,0.4,89.7
13,3570,390,ESSEX,NEWARK CITY,ELLIOTT STREET ELEMENTARY SCHOOL,PK-05,1:0.2,24.5,100 kbps,No,N,Fiber,No,268,98.5,26.90,24.40,43.5,26.9,28.8,Met Target†,253,94.8,36.40,31.80,54.9,36.3,30.1,Met Target,1.1,15.3,82.8,0.2,88.3
13,3570,307,ESSEX,NEWARK CITY,Eagle Academy for Young Men of Newark,06-12,1:0.6,24.5,100 kbps,No,N,Fiber,No,152,96.9,*,24.40,43.5,*,8.7,Met Target†,153,97.5,14.40,31.80,54.9,14.4,14.1,Met Target,2.0,88.2,9.2,0.7,66.0
13,3570,310,ESSEX,NEWARK CITY,CAMDEN STREET ELEMENTARY SCHOOL,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,344,93.5,14.00,24.40,43.5,13.8,11.2,Met Target,336,93.6,23.80,31.80,54.9,23.4,15.4,Met Target,0.9,70.0,28.3,0.3,90.4
3,3930,65,BERGEN,PARAMUS BORO,East Brook Middle School,05-08,1:0.9,26.0,100 kbps,No,Fiber,Fiber,Yes,577,94.4,64.40,61.20,43.5,64,61.6,Met Target,573,93.8,70.20,68.60,54.9,69.3,67.5,Met Target,56.1,1.3,12.7,29.0,5.4
3,3930,110,BERGEN,PARAMUS BORO,Ridge Ranch Elementary School,KG-04,1:0.3,26.0,100 kbps,No,Fiber,Fiber,Yes,130,97.9,66.20,61.20,43.5,66.2,69.1,Met Target†,128,97.8,72.70,68.60,54.9,72.7,65.8,Met Target,45.9,1.5,16.2,34.5,3.9
3,3930,100,BERGEN,PARAMUS BORO,Parkway Elementary School,PK-04,1:0.2,26.0,100 kbps,No,Fiber,Fiber,Yes,78,96.4,78.20,61.20,43.5,78.2,71.4,Met Target,78,96.4,75.60,68.60,54.9,75.6,56.4,Met Target,52.0,1.0,12.2,29.9,3.4
3,3930,130,BERGEN,PARAMUS BORO,Stony Lane Elementary School,KG-04,1:0.3,26.0,100 kbps,No,Fiber,Fiber,Yes,83,97.8,65.00,61.20,43.5,65,79.7,Not Met,82,98.9,68.30,68.60,54.9,68.3,76.1,Met Target†,57.0,1.0,8.8,30.1,4.7
3,3930,60,BERGEN,PARAMUS BORO,West Brook Middle School,05-08,1:0.7,26.0,100 kbps,No,Fiber,Fiber,Yes,519,96.6,57.00,61.20,43.5,57,50.9,Met Target,518,96.4,67.00,68.60,54.9,67,61.4,Met Target,57.7,1.7,12.0,26.4,6.5
3,3930,90,BERGEN,PARAMUS BORO,Midland Elementary School,KG-04,1:0.3,26.0,100 kbps,No,Fiber,Fiber,Yes,108,99.1,64.80,61.20,43.5,64.8,71.6,Met Target†,105,98.2,67.60,68.60,54.9,67.6,63.4,Met Target,47.9,2.1,16.9,29.2,9.7
3,3930,50,BERGEN,PARAMUS BORO,Paramus High School,PK-12,1:1.2,26.0,100 kbps,No,Fiber,Fiber,Yes,519,93.0,53.80,61.20,43.5,52.5,48.3,Met Target,527,91.7,65.60,68.60,54.9,63.3,52.6,Met Target,59.9,1.7,10.2,27.5,5.6
3,3930,80,BERGEN,PARAMUS BORO,Memorial Elementary School,KG-04,1:0.2,26.0,100 kbps,No,Fiber,Fiber,Yes,121,97.7,73.50,61.20,43.5,73.5,80,Met Target†,121,98.4,73.50,68.60,54.9,73.5,80,Met Target†,51.2,0.7,13.0,31.6,6.3
1,1310,39,ATLANTIC,EGG HARBOR TWP,FERNWOOD AVENUE MIDDLE SCHOOL,06-08,1:0.6,26.9,100 kbps,No,Wireless,Fiber,No,831,94.0,49.40,43.50,43.5,48.9,45.6,Met Target,838,94.6,61.60,52.90,54.9,61.4,58.4,Met Target,47.1,10.8,25.4,13.3,47.4
1,1310,5,ATLANTIC,EGG HARBOR TWP,EGG HARBOR TOWNSHIP HIGH SCHOOL,09-12,1:0.4,26.9,100 kbps,No,Wireless,Fiber,No,992,99.2,33.90,43.50,43.5,33.9,34.5,Met Target†,1121,99.2,46.40,52.90,54.9,46.4,39.8,Met Target,46.5,12.2,23.1,16.1,45.8
1,1310,33,ATLANTIC,EGG HARBOR TWP,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,PK-03,1:0.6,26.9,100 kbps,No,Wireless,Fiber,No,159,98.5,54.70,43.50,43.5,54.7,45.6,Met Target,159,98.5,54.70,52.90,54.9,54.7,48.6,Met Target,25.9,12.5,36.0,18.8,66.8
1,1310,35,ATLANTIC,EGG HARBOR TWP,E. H. SLAYBAUGH ELEMENTARY SCHOOL,PK-03,1:0.6,26.9,100 kbps,No,Wireless,Fiber,No,171,94.0,52.00,43.50,43.5,51.2,43.7,Met Target,171,94.0,46.70,52.90,54.9,46,49.2,Met Target†,64.4,4.9,15.9,9.9,29.5
1,1310,38,ATLANTIC,EGG HARBOR TWP,ALDER AVENUE MIDDLE SCHOOL,06-08,1:0.8,26.9,100 kbps,No,Wireless,Fiber,No,794,96.6,43.90,43.50,43.5,43.9,40.9,Met Target,799,96.7,51.60,52.90,54.9,51.6,45.3,Met Target,45.6,11.4,23.6,16.2,48.1
1,1310,50,ATLANTIC,EGG HARBOR TWP,H. RUSSEL SWIFT ELEMENTARY SCHOOL,PK-03,1:2.1,26.9,100 kbps,No,Wireless,Fiber,No,105,95.1,57.20,43.50,43.5,57.2,53.4,Met Target,105,95.1,44.80,52.90,54.9,44.8,56.3,Not Met,57.1,7.8,18.8,10.1,32.6
1,1310,45,ATLANTIC,EGG HARBOR TWP,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,04-05,1:0.6,26.9,100 kbps,No,Wireless,Fiber,No,1003,97.0,43.30,43.50,43.5,43.3,37.9,Met Target,990,96.8,55.80,52.90,54.9,55.8,49,Met Target,44.7,10.6,25.7,13.6,49.7
80,7325,965,CHARTERS,TEAM Academy Charter School,TEAM Academy Charter School,KG-12,1:0.9,27.3,100 kbps,No,N,Fiber,No,1635,99.2,41.70,41.70,43.5,41.7,30.9,Met Target,1706,99.2,46.60,46.60,54.9,46.6,39.2,Met Target,1.0,90.2,4.7,0.2,88.3
1,590,25,ATLANTIC,BUENA REGIONAL,BUENA REGIONAL HIGH SCHOOL,09-12,1:0.2,27.7,100 kbps,No,N,Fiber,No,210,71.7,26.20,27.60,43.5,19.6,16.5,Met Target,205,73.3,26.80,34.10,54.9,20.5,15.5,Met Target,59.5,15.9,22.6,1.5,49.2
80,6320,920,CHARTERS,Discovery CS,Discovery Charter School,04-08,1:0.2,27.7,100 kbps,No,Wireless,Fiber,No,109,99.1,36.70,36.70,43.5,36.7,28.9,Met Target,106,99.1,64.20,64.20,54.9,64.2,49.3,Met Target,0.9,92.9,4.5,1.8,90.2
1,590,30,ATLANTIC,BUENA REGIONAL,BUENA REGIONAL MIDDLE SCHOOL,06-08,1:0.0,27.7,100 kbps,No,N,Fiber,No,362,94.7,29.80,27.60,43.5,29.7,37,Not Met,360,94.7,37.20,34.10,54.9,37,42.2,Not Met,49.5,18.1,29.9,2.5,57.4
1,590,45,ATLANTIC,BUENA REGIONAL,COLLINGS LAKES ELEMENTARY SCHOOL,KG-03,N,27.7,100 kbps,No,N,Fiber,No,47,92.5,25.50,27.60,43.5,24.7,51.2,Not Met,47,92.5,14.90,34.10,54.9,14.4,31.7,Not Met,47.5,25.7,26.8,,55.7
1,590,300,ATLANTIC,BUENA REGIONAL,DR. J.P. CLEARY ELEMENTARY,04-05,1:0.1,27.7,100 kbps,No,N,Fiber,No,171,71.3,22.20,27.60,43.5,16.5,15.1,Met Target,171,71.3,38.00,34.10,54.9,28.2,23,Met Target,52.1,16.2,31.3,0.4,62.2
1,590,55,ATLANTIC,BUENA REGIONAL,JOHN C. MILANESI ELEMENTARY SCHOOL,PK-03,N,27.7,100 kbps,No,N,Fiber,No,49,93.1,38.80,27.60,43.5,37.7,48.6,Met Target†,48,91.2,45.80,34.10,54.9,43.7,41.5,Met Target,54.8,14.8,27.9,1.6,51.0
3,5150,130,BERGEN,TEANECK TWP,James Russell Lowell Elementary School,KG-04,1:0.4,28.3,100 kbps,No,N,Fiber,No,123,96.1,57.00,41.40,43.5,57,48.5,Met Target,123,97.4,59.30,57.30,54.9,59.3,45.5,Met Target,12.6,30.5,41.8,11.6,43.7
3,5150,70,BERGEN,TEANECK TWP,Thomas Jefferson Middle School,05-08,1:0.4,28.3,100 kbps,No,N,Fiber,No,372,96.8,42.50,41.40,43.5,42.5,47.6,Not Met,372,96.9,62.90,57.30,54.9,62.9,61.7,Met Target,11.3,37.0,34.3,14.9,35.8
3,5150,60,BERGEN,TEANECK TWP,Benjamin Franklin Middle School,05-08,1:0.5,28.3,100 kbps,No,N,Fiber,No,349,96.3,36.60,41.40,43.5,36.6,39.8,Met Target†,350,96.2,50.90,57.30,54.9,50.9,52,Met Target†,12.0,39.4,36.1,10.2,46.1
3,5150,50,BERGEN,TEANECK TWP,Teaneck High School,09-12,1:0.4,28.3,100 kbps,No,N,Fiber,No,493,95.1,35.50,41.40,43.5,35.5,29.7,Met Target,495,95.6,60.00,57.30,54.9,60,45.9,Met Target,11.1,40.6,34.3,10.0,32.7
3,5150,150,BERGEN,TEANECK TWP,John Greenleaf Whittier Elementary School,KG-04,1:0.3,28.3,100 kbps,No,N,Fiber,No,147,95.0,44.20,41.40,43.5,44.2,46.1,Met Target†,147,95.6,47.60,57.30,54.9,47.6,49.7,Met Target†,13.5,33.1,41.3,9.3,43.5
3,5150,110,BERGEN,TEANECK TWP,Nathaniel Hawthorne Elementary School,KG-04,1:0.4,28.3,100 kbps,No,N,Fiber,No,118,98.0,56.80,41.40,43.5,56.8,56.9,Met Target†,118,98.0,56.80,57.30,54.9,56.8,65.7,Not Met,14.0,28.6,36.8,16.8,41.3
31,3995,50,PASSAIC,PASSAIC COUNTY VOCATIONAL,Passaic County Technical Institute,09-12,1:1.3,32.1,100 kbps,No,N,Fiber,No,1683,99.0,44.40,44.40,43.5,44.4,45.3,Met Target†,1739,99.0,60.40,60.40,54.9,60.4,60.9,Met Target†,17.1,12.1,60.7,8.9,49.8
3,890,80,BERGEN,CLIFFSIDE PARK BORO,School #6,01-08,1:0.5,32.4,100 kbps,No,N,Fiber,No,546,98.4,35.40,37.20,43.5,35.4,37.8,Met Target†,545,98.5,54.00,56.70,54.9,54,56.3,Met Target†,40.5,2.3,49.4,6.8,52.4
3,890,30,BERGEN,CLIFFSIDE PARK BORO,Cliffside Park High School,09-12,N,32.4,100 kbps,No,N,Fiber,No,495,99.1,17.80,37.20,43.5,17.8,25.4,Not Met,507,98.5,40.60,56.70,54.9,40.6,41,Met Target†,31.2,1.9,64.1,2.5,53.7
3,890,60,BERGEN,CLIFFSIDE PARK BORO,School #4,KG-06,1:0.5,32.4,100 kbps,No,N,Fiber,No,185,99.5,62.20,37.20,43.5,62.2,61.9,Met Target,185,100.0,74.60,56.70,54.9,74.6,69.2,Met Target,45.1,1.5,45.5,7.3,53.1
3,890,70,BERGEN,CLIFFSIDE PARK BORO,School #5,PK-06,1:0.6,32.4,100 kbps,No,N,Fiber,No,108,100.0,45.40,37.20,43.5,45.4,56.8,Not Met,108,100.0,70.40,56.70,54.9,70.4,68.3,Met Target,33.0,6.7,55.0,4.3,62.4
3,890,50,BERGEN,CLIFFSIDE PARK BORO,School #3,01-06,1:1.0,32.4,100 kbps,No,N,Fiber,No,166,97.8,67.40,37.20,43.5,67.4,54.4,Met Target,166,98.3,85.60,56.70,54.9,85.6,75.2,Met Goal,29.3,3.1,65.2,2.1,82.2
11,1120,45,CUMBERLAND,DOWNE TWP,Downe Township Elementary School,PK-08,1:0.4,33.3,100 kbps,No,N,Fiber,No,87,98.0,31.00,31.00,43.5,31,21.9,Met Target,87,98.0,29.80,29.80,54.9,29.8,28.7,Met Target,90.6,2.2,3.9,1.1,40.6
13,250,100,ESSEX,BELLEVILLE TOWN,Belleville PS10,KG-05,1:1.6,33.5,100 kbps,No,N,Fiber,No,84,98.9,53.60,22.60,43.5,53.6,60.2,Met Target†,84,98.8,75.00,44.30,54.9,75,69,Met Target,16.4,10.9,49.1,23.6,47.3
13,250,20,ESSEX,BELLEVILLE TOWN,Belleville High School,09-12,1:0.7,33.5,100 kbps,No,N,Fiber,No,696,98.9,13.60,22.60,43.5,13.6,17.7,Not Met,674,98.4,35.70,44.30,54.9,35.7,36.5,Met Target†,16.1,8.6,61.9,12.7,57.3
13,250,25,ESSEX,BELLEVILLE TOWN,Belleville Middle School,06-08,1:1.2,33.5,100 kbps,No,N,Fiber,No,895,95.6,17.90,22.60,43.5,17.9,26.4,Not Met,896,95.4,44.40,44.30,54.9,44.4,44.2,Met Target,15.3,10.2,66.1,7.8,67.6
13,250,90,ESSEX,BELLEVILLE TOWN,Belleville PS9,KG-05,1:1.6,33.5,100 kbps,No,N,Fiber,No,67,98.6,40.30,22.60,43.5,40.3,48.4,Met Target†,67,98.6,73.10,44.30,54.9,73.1,61,Met Target,16.4,9.4,62.5,10.2,78.9
13,250,50,ESSEX,BELLEVILLE TOWN,Belleville PS3,PK-05,1:0.7,33.5,100 kbps,No,N,Fiber,No,114,97.9,33.30,22.60,43.5,33.3,28.1,Met Target,114,97.8,46.50,44.30,54.9,46.5,37,Met Target,11.9,4.2,73.1,10.3,70.5
13,250,80,ESSEX,BELLEVILLE TOWN,Belleville PS8,KG-05,1:0.6,33.5,100 kbps,No,N,Fiber,No,217,99.2,23.50,22.60,43.5,23.5,25.1,Met Target†,217,99.2,43.30,44.30,54.9,43.3,34.1,Met Target,9.1,13.2,72.6,3.2,71.5
13,250,70,ESSEX,BELLEVILLE TOWN,Belleville PS7,PK-05,1:0.7,33.5,100 kbps,No,N,Fiber,No,188,94.6,30.30,22.60,43.5,30.2,38.9,Not Met,188,94.6,43.10,44.30,54.9,42.8,45.6,Met Target†,26.6,10.4,53.0,7.1,58.1
13,250,60,ESSEX,BELLEVILLE TOWN,Belleville PS5,KG-05,1:0.8,33.5,100 kbps,No,N,Fiber,No,161,93.8,36.00,22.60,43.5,35.5,39.3,Met Target†,161,93.7,43.50,44.30,54.9,42.9,37.6,Met Target,17.6,5.3,70.1,5.6,63.6
13,250,55,ESSEX,BELLEVILLE TOWN,Belleville PS4,PK-05,1:0.8,33.5,100 kbps,No,N,Fiber,No,135,95.7,34.80,22.60,43.5,34.8,24.9,Met Target,131,94.9,56.50,44.30,54.9,56.5,41,Met Target,9.5,6.0,71.0,10.9,61.8
41,5780,50,WARREN,WHITE TWP,WHITE TOWNSHIP CONSOLIDATED SCHOOL,PK-08,1:0.5,37.0,100 kbps,No,N,Fiber,No,167,98.4,46.70,46.70,43.5,46.7,49.8,Met Target†,167,98.4,64.70,64.70,54.9,64.7,61.6,Met Target,91.1,1.9,5.2,0.4,18.1
80,6420,925,CHARTERS,Elysian CS of Hoboken,Elysian Charter School,KG-08,1:0.7,37.9,100 kbps,No,N,Fiber,No,189,100.0,66.70,66.70,43.5,66.7,65,Met Target,189,100.0,73.10,73.10,54.9,73.1,76.2,Met Target†,65.9,6.6,15.9,10.0,12.4
19,1970,50,HUNTERDON,HAMPTON BORO,HAMPTON BOROUGH SCHOOL,PK-08,1:0.6,38.2,100 kbps,No,N,Fiber,No,50,89.4,34.00,34.00,43.5,31.3,29.6,Met Target,50,89.4,44.00,44.00,54.9,40.6,48.2,Met Target†,86.3,2.3,10.7,,32.8
3,3730,50,BERGEN,NORTHVALE BORO,NORTHVALE PUBLIC SCHOOL,KG-08,1:0.2,38.5,100 kbps,No,N,Fiber,No,318,98.9,68.50,68.50,43.5,68.5,69.4,Met Target†,318,99.1,79.20,79.20,54.9,79.2,78.3,Met Target,57.3,1.5,11.7,29.4,0.2
